state_fips,county_fips,county_state,Year,unemployment_rate,full_fips,sanctuary_status
1,1,"Autauga County, AL",2024,2.7,01001,0
1,3,"Baldwin County, AL",2024,2.7,01003,0
1,5,"Barbour County, AL",2024,4.3,01005,0
1,7,"Bibb County, AL",2024,3,01007,0
1,9,"Blount County, AL",2024,2.7,01009,0
1,11,"Bullock County, AL",2024,3.7,01011,0
1,13,"Butler County, AL",2024,3.9,01013,0
1,15,"Calhoun County, AL",2024,3.2,01015,0
1,17,"Chambers County, AL",2024,2.8,01017,0
1,19,"Cherokee County, AL",2024,3.1,01019,0
1,21,"Chilton County, AL",2024,2.8,01021,0
1,23,"Choctaw County, AL",2024,4.5,01023,0
1,25,"Clarke County, AL",2024,5.2,01025,0
1,27,"Clay County, AL",2024,3,01027,0
1,29,"Cleburne County, AL",2024,2.8,01029,0
1,31,"Coffee County, AL",2024,3.1,01031,0
1,33,"Colbert County, AL",2024,3.3,01033,0
1,35,"Conecuh County, AL",2024,4.2,01035,0
1,37,"Coosa County, AL",2024,3.3,01037,0
1,39,"Covington County, AL",2024,3.3,01039,0
1,41,"Crenshaw County, AL",2024,3.4,01041,0
1,43,"Cullman County, AL",2024,2.7,01043,0
1,45,"Dale County, AL",2024,3.5,01045,0
1,47,"Dallas County, AL",2024,5.5,01047,0
1,49,"DeKalb County, AL",2024,2.7,01049,0
1,51,"Elmore County, AL",2024,2.6,01051,0
1,53,"Escambia County, AL",2024,4.1,01053,0
1,55,"Etowah County, AL",2024,3.3,01055,0
1,57,"Fayette County, AL",2024,3.4,01057,0
1,59,"Franklin County, AL",2024,2.9,01059,0
1,61,"Geneva County, AL",2024,2.9,01061,0
1,63,"Greene County, AL",2024,6.7,01063,0
1,65,"Hale County, AL",2024,4.3,01065,0
1,67,"Henry County, AL",2024,3.2,01067,0
1,69,"Houston County, AL",2024,3.1,01069,0
1,71,"Jackson County, AL",2024,3.5,01071,0
1,73,"Jefferson County, AL",2024,3.1,01073,0
1,75,"Lamar County, AL",2024,3.4,01075,0
1,77,"Lauderdale County, AL",2024,3.2,01077,0
1,79,"Lawrence County, AL",2024,2.7,01079,0
1,81,"Lee County, AL",2024,2.8,01081,0
1,83,"Limestone County, AL",2024,2.5,01083,0
1,85,"Lowndes County, AL",2024,4.7,01085,0
